1.63606E-5	0.01391
0.16696	0.06593
0.33391	0.12304
0.50085	0.1945
0.66779	0.26486
0.83474	0.33364
1.00168	0.39945
1.16863	0.46371
1.33557	0.53723
1.50252	0.60917
1.66946	0.66602
1.83641	0.72194
2.00335	0.78231
2.1703	0.83457
2.33724	0.88744
2.50418	0.94512
2.67113	0.99238
2.83807	1.03794
3.00502	1.09856
3.17196	1.13947
3.33891	1.18094
3.50585	1.22879
3.6728	1.26159
3.83974	1.31502
4.00669	1.35519
4.17363	1.38765
4.34058	1.41879
4.50752	1.45528
4.67446	1.48576
4.84141	1.52152
5.00835	1.54992
5.1753	1.56796
5.34224	1.58461
5.50919	1.60467
5.67613	1.62941
5.84308	1.63371
6.01002	1.65582
6.17697	1.6638
6.34391	1.66631
6.51085	1.67338
6.6778	1.68037
6.84474	1.68575
7.01169	1.67402
7.17863	1.68332
7.34558	1.67361
7.51252	1.66325
7.67947	1.65843
7.84641	1.64449
8.01336	1.64836
8.1803	1.64465
8.34725	1.63078
8.51419	1.60931
8.68113	1.59125
8.84808	1.57364
9.01502	1.55017
9.18197	1.52253
9.34891	1.49932
9.51586	1.47246
9.6828	1.44213
9.84975	1.40388
10.01669	1.37071
10.18364	1.3357
10.35058	1.29491
10.51752	1.24763
10.68447	1.2059
10.85141	1.16363
11.01836	1.12598
11.1853	1.08536
11.35225	1.03401
11.51919	0.98416
11.68614	0.93043
11.85308	0.89071
12.02003	0.83752
12.18697	0.79087
12.35391	0.73733
12.52086	0.68985
12.6878	0.63866
12.85475	0.59045
13.02169	0.53518
13.18864	0.47506
13.35558	0.42075
13.52253	0.37318
13.68947	0.3235
13.85642	0.2635
14.02336	0.20786
14.19031	0.15576
14.35725	0.10368
14.52419	0.04458
14.69114	-8.11178E-4
14.85808	-0.04247
15.02503	-0.09818
15.19197	-0.15797
15.35892	-0.21059
15.52586	-0.26228
15.69281	-0.3158
15.85975	-0.36357
16.0267	-0.41738
16.19364	-0.4651
16.36058	-0.52536
16.52753	-0.56571
16.69447	-0.60853
16.86142	-0.66044
17.02836	-0.70483
17.19531	-0.74394
17.36225	-0.78517
17.5292	-0.81949
17.69614	-0.85357
17.86309	-0.88943
18.03003	-0.92021
18.19697	-0.94624
18.36392	-0.97376
18.53086	-1.00869
18.69781	-1.02238
18.86475	-1.04384
19.0317	-1.06249
19.19864	-1.08247
19.36559	-1.09524
19.53253	-1.0963
19.69948	-1.10437
19.86642	-1.11399
20.03337	-1.11665
20.20031	-1.12089
20.36725	-1.12922
20.5342	-1.12893
20.70114	-1.13156
20.86809	-1.12791
21.03503	-1.13221
21.20198	-1.13164
21.36892	-1.12302
21.53587	-1.12732
21.70281	-1.11472
21.86976	-1.11114
22.0367	-1.10363
22.20364	-1.09921
22.37059	-1.08464
22.53753	-1.08883
22.70448	-1.07934
22.87142	-1.05989
23.03837	-1.0499
23.20531	-1.0352
23.37226	-1.02814
23.5392	-1.00872
23.70615	-0.99268
23.87309	-0.97008
24.04004	-0.95084
24.20698	-0.92934
24.37392	-0.90888
24.54087	-0.87971
24.70781	-0.85865
24.87476	-0.82843
25.0417	-0.80509
25.20865	-0.7795
25.37559	-0.75269
25.54254	-0.71987
25.70948	-0.68543
25.87643	-0.65679
26.04337	-0.62216
26.21031	-0.59049
26.37726	-0.55298
26.5442	-0.5185
26.71115	-0.48066
26.87809	-0.44854
27.04504	-0.41249
27.21198	-0.37681
27.37893	-0.33966
27.54587	-0.30692
27.71282	-0.27318
27.87976	-0.23097
28.0467	-0.19302
28.21365	-0.15693
28.38059	-0.13111
28.54754	-0.08874
28.71448	-0.05769
28.88143	-0.02396
29.04837	0.0015
29.21532	0.0314
29.38226	0.06563
29.54921	0.09573
29.71615	0.13298
29.8831	0.1669
30.15198	0.23905
30.31893	0.26894
30.48587	0.29856
30.65282	0.32817
30.81976	0.35762
30.98671	0.38686
31.15365	0.4171
31.3206	0.44586
31.48754	0.47323
31.65449	0.49907
31.82143	0.52385
31.98837	0.54765
32.15532	0.56973
32.32226	0.5926
32.48921	0.61381
32.65615	0.63442
32.8231	0.65407
32.99004	0.67271
33.15699	0.68896
33.32393	0.70621
33.49088	0.72149
33.65782	0.73381
33.82476	0.74592
33.99171	0.75606
34.15865	0.76325
34.3256	0.77031
34.49254	0.77739
34.65949	0.78292
34.82643	0.78744
34.99338	0.791
35.16032	0.79084
35.32727	0.78968
35.49421	0.78591
35.66116	0.78212
35.8281	0.77736
35.99504	0.77457
36.16199	0.76981
36.32893	0.76789
36.49588	0.76302
36.66282	0.75814
36.82977	0.75106
36.99671	0.745
37.16366	0.7342
37.3306	0.72439
37.49755	0.71164
37.66449	0.69799
37.83143	0.68042
37.99838	0.6627
38.16532	0.64152
38.33227	0.6211
38.49921	0.59874
38.66616	0.57805
